title,stars,comment
"







  
    Refresh
  
  
",5.0 out of 5 stars,"









  
    
  Ayuda a la piel reseca, es hidratante y si tienes ardor en la cara te alivia bastante.

  
  
"
"







  
  
    good quality
  
",5.0 out of 5 stars,"









  
  
    
  this product deserve this amount of money! it feels so fresh!

  
"
"







  
  
    Worth the Buy.
  
",5.0 out of 5 stars,"









  
  
    
  Bottle was package well in clear wrap.Very easy to use and press down on.Great light mist for a quick freshen up.I will buy again.

  
"
"







  
  
    Won’t spray Anything
  
",2.0 out of 5 stars,"









  
  
    
  It was working fine them today it won’t spray enything  the bottle is more than half way full is useless now

  
"
"







  
  
    I like it !!
  
",5.0 out of 5 stars,"









  
  
    
  Buy buy buy ! I will buy one more !

  
"
"







  
    Super buena
  
  
",5.0 out of 5 stars,"









  
    
  Excelente! Super hidratante, super fresca, me encanta como deja mi piel y mi maquillaje. Sin duda siempre que se me termina la vuelvo a comprar.

  
  
"
"







  
  
    There’s nothing more pure for your skin that pristine water from thermal spring in France.
  
",5.0 out of 5 stars,"









  
  
    
  Just a must- have.

  
"
"







  
  
    Excellent
  
",5.0 out of 5 stars,"









  
  
    
  Been using this for years. Still the best!

  
"
"







  
  
    I love it!
  
",5.0 out of 5 stars,"









  
  
    
  I love applying Eau Thermale by Avene. I used it all over my body during summer time and on my face throughout the year.

  
"
"







  
  
    Fine mist!
  
",5.0 out of 5 stars,"









  
  
    
  Love this!

  
"
"







  
  
    Good
  
",5.0 out of 5 stars,"









  
  
    
  Very good product

  
"
"







  
  
    OoooLaLa
  
",5.0 out of 5 stars,"









  
  
    
  Made with water from France. I don’t know what that means but five stars !

  
"
"







  
  
    Miracle Spray
  
",5.0 out of 5 stars,"









  
  
    
  I had a sample of this spray in my medicine cabinet for months before I tried it. I didn't even know what it was for. I finally tried it on a rash that my dermatologist was treating me for. He gave me a cream that burned like crazy. I sprayed this on the rash and there was INSTANT relief.  I haven't used the prescription cream since.  It's great on my legs after shaving - keeps them moist and stops the itch. Great on my face in the morning, night and in-between when I need to ""wake up""! I now have it on ""Auto-Delivery"" with Amazon. I don't know how I lived without it!

  
"
"







  
  
    No scent, absolutely refreshing spray. Mental reset.
  
",5.0 out of 5 stars,"









  
  
    
  I love this. When the day gets stressful, I take a spray and my mind eases down.

  
"
"







  
  
    Best water ever for my dry skin!
  
",5.0 out of 5 stars,"









  
  
    
  One of the best, no explanation needed, good for basic care, wet my brush before putting on make ups, basically anything!

  
"
"







  
  
    Refreshing healthy alternative for all skin types
  
",5.0 out of 5 stars,"









  
  
    
  I found this brand in Europe and also Recomended by my doctor. This is so refreshing and a soothing, healthy alternative for all skin types especially sensitive skin. I use it as my first step after washing face in my morning and night routine.

  
"
"







  
  
    Love product but arrived with a cracked lid
  
",5.0 out of 5 stars,"









  
  
    
  The product arrived with a cracked lid.

  
"
"







  
  
    Delivery
  
",5.0 out of 5 stars,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    










  
  
    
   I don’t know why my item I have received like this

  
"
"







  
  
    Recommended by my Dermatologist
  
",5.0 out of 5 stars,"









  
  
    
  This is a fabulous product. Perfect on a sunburn. I use it after my face peal. Recommended by my Dermatologist

  
"
"







  
    No
  
  
",1.0 out of 5 stars,"









  
    
  Es muy caro

  
  
"
"







  
  
    Received a dent cut dirty item and not allowed to return!
  
",1.0 out of 5 stars,"









  
  
    
  Received a full of dents & cuts item. Outside is very dirty seems like an used item.Tried to return or replace a new one, but it is not allowed to return due to its shipping policy.Bad experience and Not recommended!

  
"
"







  
  
    Pregnancy lifesaver
  
",5.0 out of 5 stars,"









  
  
    
  Using this for hot/irritated skin and itchy stretch marks in pregnancy and I can't stress how soothing and cooling it has been. I bought it for labour but have used it so much in pregnancy I need another bottle!

  
"
"







  
  
    excellent quality
  
",5.0 out of 5 stars,"









  
  
    
  love this especially in the summer a quick light spray is gorggeous x

  
"
"







  
  
    Great for cooking you down/as a skincare spray
  
",5.0 out of 5 stars,"









  
  
    
  Produces a much finer spray than other brands’ bottles, so great for skincare/cooling you down in summer. Quite a large spread of water, if that makes sense, so you can spritz a large area very quickly. It’s lasting a long time too, probably because it’s so efficient with spreading the water particles so thinly.

  
"
"







  
  
    Cleansing, refreshing
  
",5.0 out of 5 stars,"









  
  
    
  Used on face, very refreshing.

  
"
"







  
  
    You feel fresh
  
",5.0 out of 5 stars,"









  
  
    
  Cools the skin down you feel fresh after the spray and you feel better. The 300ml least for a month so. Will buy again.

  
"
"







  
  
    Refreshing
  
",5.0 out of 5 stars,"









  
  
    
  Love it.

  
"
"







  
  
    Avene Thermal Spring Water
  
",5.0 out of 5 stars,"









  
  
    
  Product is as described.  It arrived on time.  It is suitable for sensitive skin.  Very good product.  Leaves your skin feeling hydrated and soft.  I would recommend.

  
"
"







  
  
    Thx a lot
  
",5.0 out of 5 stars,"









  
  
    
  I love the product special for make up

  
"
"







  
  
    Disappointed
  
",1.0 out of 5 stars,"









  
  
    
  This seems like a second hand product tbh

  
"
"







  
  
    Awesome fir my sensitive skin
  
",5.0 out of 5 stars,"









  
  
    
  Works!  Makes my skin less red and irritated.  Use it daily

  
"
"







  
  
    Comfortable and not expensive
  
",5.0 out of 5 stars,"









  
  
    
  Easy to use. The effect is pretty good, but the scent is just so so. It’s okay for sensitive skin since it’s very gentle.

  
"
"







  
  
    Caused bad breakout and allergic reaction
  
",1.0 out of 5 stars,"









  
  
    
  Used this a few times when I first received it and had a terrible breakout a few days later—really out of the ordinary for me. I wasn’t 100% certain it was caused by the spray but I stopped using it out of caution. I just gave it another try to help soothe a sunburn (one of the product’s listed uses) and within a few minutes I was wheezing, coughing, sneezing and my skin was burning. Washed my face and felt better almost immediately. I’ve used other Avene products and loved them so I’m super disappointed by this and a little spooked by how it affected me. Maybe I got a bad batch.

  
"
"







  
  
    great spray
  
",5.0 out of 5 stars,"









  
  
    
  back i n the 80's I used evian all the time especially while flying and this is better... great product

  
"
"







  
  
    Love 💗
  
",5.0 out of 5 stars,"









  
  
    
  Love this line ❤️

  
"
"







  
  
    I will happily give this company thousands of dollars during my life
  
",5.0 out of 5 stars,"









  
  
    
  Soooo nice. Sooo satisfying. Perfecto. Everyone I show this to is like, “oooooo what was that called again?” I love it and will buy it forever.

  
"
"







  
  
    Love love love
  
",5.0 out of 5 stars,"









  
  
    
  This is heaven in a bottle

  
"
"







  
    Lo mejor
  
  
",5.0 out of 5 stars,"









  
    
  Súper yo amo esa línea de products gracias a esos productos se me fueron mis granitos

  
  
"
"







  
  
    Took a chance
  
",5.0 out of 5 stars,"









  
  
    
  Cool nifty product!

  
"
"







  
  
    Softer and smoother skin
  
",5.0 out of 5 stars,"









  
  
    
  I like facial sprays in between all the steps of my skin care. I was using a cica (centella) toner spray before this. Same price point for both but quantity of this far exceeds the other. I don't feel like the cica was helping with my red, sensitive skin. This has exceeded my expectations for simple mineral water. I would recommend pressing the trigger spray very minimally. I noticed when I pressed it firmly like you feel you should, it was waaaay too much water. Half press and it's the perfect amount to cover the entire face and neck. There's no scent, doesn't burn the eyes, has helped my serums and moisturizer penetrate significantly better. My skin has felt exponentially softer and smoother. I will definitely repurchase.

  
"
"







  
  
    Nice As Always
  
",5.0 out of 5 stars,"









  
  
    
  Nice for sensitive skin during the hot summer and harsh cold winter as well.

  
"
"







  
  
    This product is very refreshing!
  
",5.0 out of 5 stars,"









  
  
    
  This product is very refreshing! My face was relieved and the itchiness caused by psoriasis lessened, for a few. this product is amazing. There is not a single day that goes by that I don't wear it. The time I feel itchy on my face, spray this for relief and you will feel relief instantly.

  
"
"







  
  
    Great moisture
  
",5.0 out of 5 stars,"









  
  
    
  Love this product, I cannot leave it in the fall

  
"
"







  
  
    Amazing
  
",5.0 out of 5 stars,"









  
  
    
  I just used this a couple times and its AMAZING!!!  I used on its own and to accompany my skin care regimen and when I woke up in the morning my skin was hydrated and supple!

  
"
"







  
  
    Doesn't work that well.
  
",3.0 out of 5 stars,"









  
  
    
  I got it again at prime day ,the reason i gave it 3 strars because the old one i have got struck , it doesn't spray anymore , still has half bottle:(

  
"
"







  
  
    Excellent
  
",5.0 out of 5 stars,"









  
  
    
  Excellent.

  
"
"







  
  
    Yes, it's ""just"" water, but...
  
",5.0 out of 5 stars,"









  
  
    
  This is ""just"" water, but it's very pure water, and as a result, I think it has slightly different physical properties than tap water. For example, I live in an area of very hard water, and my hair just never gets very soft, not matter how I style it or what I put on it. If I spray this Avene water on my hair before styling, soft waves in my hair come out, my hair is soft, and even the color looks a little better (probably because of the way it lays down the cuticle of the hair). On very dry days, I spray it on my hair, and it revitalizes it without getting frizzy. And of course, when it's really hot, a light spray on my face, neck, and shoulders cools me down instantly.

  
"
"







  
  
    Terrible sewer smell
  
",1.0 out of 5 stars,"









  
  
    
  I have used Avene Eau Thermal for years but this last bottle has terrible smell.  It stinks of sewer.

  
"
"







  
  
    DO NOT BUY BROKEN SPRAY HEAD
  
",1.0 out of 5 stars,"









  
  
    
  cant even return this garbage， the head is broken also leak.

  
"
"







  
  
    Glowy skin
  
",5.0 out of 5 stars,"









  
  
    
  So refreshing and super gentle!!

  
"
"







  
  
    moisturizing and comfortable
  
",5.0 out of 5 stars,"









  
  
    
  This is a very comfortable item for using after face cleasing.

  
"
"







  
  
    Great product!
  
",5.0 out of 5 stars,"









  
  
    
  I am very picky when it comes to my face care. I don't like scented products so this one is perfect. It hydrates my face and leaves it smooth and fresh.

  
"
"







  
  
    comfortable！
  
",5.0 out of 5 stars,"









  
  
    
  I have sensitive skin, but I've been using it for almost 10 years and I'm still using it. It's comfortable！

  
"
"







  
  
    The Spray Nozzle Stops Working-Never Buying Again-See Video
  
",1.0 out of 5 stars,"


















    
        

        
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    










  
  
    
   This is the 4th time I have bought this products and I am done. The spray nozzle with just get clogged--see attached video--when there is still a good amount of water left. It is horrible and I am done..I also didn't think it moisturized my face that well, the water dried on my face very quickly, by the time I left my bedroom after I sprayed it, my face was just as dry...I am searching for another product...

  
"
"







  
  
    Wanted to hate it, but I LOVE it.
  
",5.0 out of 5 stars,"









  
  
    
  I got the 10 oz version because that seemed to be the most bang for your buck. I really wanted to hate this product because I swore I would NOT be one of those people that sprays their face with water. Now I'm converted.I will say that my skin feels softer when I use it. It feels really soothing and refreshing to spray this at night before I start layering on serums. I got the 10 oz version because that seemed to be the most bang for your buck.It's by no mean ""essential"" to my routine, but I really enjoy using it and how it feels!

  
"
"







  
  
    Excellent product - I won't use anything else from now on
  
",5.0 out of 5 stars,"









  
  
    
  I initially came across this Avene product when I tried the 3 piece Avene sample kit system for hyper sensitive skin. This had made such a difference in my red, inflamed, tight, and often painful skin, that I won't use anything else. (Even the famous Clinique yellow moisturizer that I swore by previously). The system does work for sensitive skin and rosacea (I have both) if you use it every day. After 10 days, I saw a good improvement in skin. After 6 weeks, my skin is so much better. You can also use the spray over makeup if your face feels dry, tight, or inflamed during the day. I have not had a problem with it ruining my makeup or causing it to smear. It was really miserable to wake up with your face burning and inflamed every morning. If you are like me, and your sensitive skin is truly a pain, try the Avene. I hope it helps you too.

  
"
"







  
  
    It’s Awesome ⭐️⭐️⭐️⭐️⭐️
  
",5.0 out of 5 stars,"









  
  
    
  This stuff is great and works well especially in the heat! feels fabulous, and most important is that it doesn’t irritate my skin. I use it to cool off or set my make up. The spray nozzle always works. It’s a good quality product all around.

  
"
"







  
  
    Amazingness
  
",5.0 out of 5 stars,"









  
  
    
  I purchased this item after a horrible experience with waxing after I had been using a retinol serum, long story short the wax took both my hair and skin, rookie mistake leaving me with a significant size blotch on my face. I was devastated and did a lot of research which lead me to find this amazingness of a product. My ""no scar regime"" was composed of this, Bio Oil, Neoporin, Cetaphil Cleanser, and Aquaphor. Five days later I am all healed with minimal visibility of skin discoloration. This product is so amazing that I will continue to purchase, as a matter in fact I find myself looking for excuses to use it including morning, night, and setting of make-up. I couldn't believe its just spring water as it leaves your skin feeling incredibly soft. If you are considering this, I highly recommend it and it is worth the price difference compared to similar, but in my opinion inferior, alternatives.

  
"
"







  
  
    Love this product
  
",5.0 out of 5 stars,"









  
  
    
  No Scent, feels great and cooling for aggravated skin. Perfect to do a quick spritz before putting on lotion or as a quick refresher throughout the day over your makeup. I always get dry throughout the day and this is great to pull out for a quick sure of moisture blast. Love!

  
"
"







  
  
    Simple, effective hydration
  
",5.0 out of 5 stars,"









  
  
    
  This is the only thing I could use to wash my face when I got perioral dermatitis and it was wonderful! I love the cooling feeling of the mist each morning and night, then I simply wipe away with a cotton ball.Also have a travel size Avene that I kept in the cooler when visiting western U.S. deserts in the summertime - amazing for both cooling and keeping skin hydrated.Only product of its kind... Simple and effective!

  
"
"







  
  
    Did not work.
  
",2.0 out of 5 stars,"









  
  
    
  Did not do a thing for my daughter. We had had high hopes it would help her eczema.  😔 but it did nothing.

  
"
"







  
  
    Not Miracle Water
  
",2.0 out of 5 stars,"









  
  
    
  I thought this was for sensitive skin?

  
"
"







  
  
    Nice product
  
",5.0 out of 5 stars,"









  
  
    
  I use it everyday!!!

  
"
"







  
  
    Sensitive skin thermal water
  
",5.0 out of 5 stars,"









  
  
    
  Refreshing and hydrating

  
"
"







  
  
    changed my opinion
  
",4.0 out of 5 stars,"









  
  
    
  I was one of those people who thought, why am i paying so much for water until i got super dry, red, and itchy skin around my nose and chin. I used their tolerance cream which i recommend and this together, and wow it changed my skin within days. Its refreshing and moisturizing. I use it over my makeup sometimes and it does ruin it. This product comes out in a fine mist and is great.

  
"
"







  
  
    Good Quality
  
",5.0 out of 5 stars,"









  
  
    
  Good Quality

  
"
"







  
  
    Great unscented product for inflamed sensitive skin and facial eczema
  
",5.0 out of 5 stars,"









  
  
    
  If you struggle with sensitive skin and/or facial eczema, this definitely helps calm the skin. Sometimes I do two layers of this spray when I feel very inflamed.

  
"
"







  
  
    Saved my face
  
",5.0 out of 5 stars,"









  
  
    
  Okay, I know what you're thinking...$19 for a bottle of water?!  I get it. I was that person. Until my dermatologist recommended it for my rosacea and severely dry skin. I gave it shot.  My poor nose, cheeks, nose and chin were so dry, flaky, and inflamed it felt like a crusty mask was on top my face.This saved my face.  I actually have soft skin on my face now!Here's my nightly routine:1) mist this on my face2) apply the Avene no-rinse cleansing milk with a soft cotton pad3) mist face again4) wait about 30-60 seconds and let this awesome water soak in a bit5) with clean hands, take a small dab of Aquaphor and rub on palms6) pat face lightly with my palms and fingers to apply the aquaphor on top of the water. All it takes is a small amount of aquaphor. It absorbs quickly and it doesnt feel greasy for more than a few minutes.I hate lengthy bedtime beauty routines, but this is fast and easy. And it works.

  
"
"







  
  
    Expected product
  
",5.0 out of 5 stars,"









  
  
    
  niceeeeeee

  
"
"







  
  
    Love it!
  
",4.0 out of 5 stars,"









  
  
    
  I really love it but it is expensive

  
"
"







  
  
    Perfect Mist for Sensitive Skin
  
",5.0 out of 5 stars,"









  
  
    
  My skincare staple. I use this day and night after washing my face. It’s refreshing and I am addicted, I’ve tried other facial mist sprays like Evian, La Roche, but I always end up coming back to AveneGreat for people with perioral dermatitis, this keeps my flare ups under control and helps with stinging!

  
"
"







  
  
    AMAZING
  
",5.0 out of 5 stars,"









  
  
    
  love everything about this product

  
"
"







  
    No deja la piel grasa
  
  
",5.0 out of 5 stars,"









  
    
  Refresca y humecta

  
  
"
"







  
  
    The best thermal water there is
  
",5.0 out of 5 stars,"









  
  
    
  This water is great for calming rosacea and any other kind of irritated skin. I have extremely sensitive skin that does not tolerate many products. For years, i have used this daily under Shea butter or squlene for moisturizer. It is expensive and I have tried replacing it with other waters... They never worked for me the way this one does. There really is something different about it that is worth the money. It keeps my skin calm and happy.

  
"
"







  
  
    MUST HAVE
  
",5.0 out of 5 stars,"









  
  
    
  I think this is my 4 purchase of this product. Out of all the thermal waters I tried, this one is the best to remove irritation and redness!

  
"
"







  
  
    Cleared up my dermatitis
  
",5.0 out of 5 stars,"









  
  
    
  I have been struggling with a dermatitis outbreak on my chest. I have prescription Cortizone cream but it just wasn’t helping. It would clear up and be back the next day. I started spraying on this French water and my skin cleared up.

  
"
"







  
  
    Just okay
  
",3.0 out of 5 stars,"









  
  
    
  It’s not bad for sensitive skin but I don’t feel like it does anything at all. Just feels good to spray it on after the gym but I don’t see the benefits

  
"
"







  
  
    Good for sensitive skin
  
",5.0 out of 5 stars,"









  
  
    
  I can’t remember how many Avene sprays I used. It’s really nice for my skin. My skin is sensitive and mixed. I love to use it after every face washing. Sometimes only used it without any others. Especially when before going to bed.

  
"
"







  
    Thermalwasser
  
  
",5.0 out of 5 stars,"









  
    
  Kaufe es schon seit Jahren sehr schönes Produkt.

  
  
"
"







  
    Excelente
  
  
",5.0 out of 5 stars,"









  
    
  Entrega rápida, buen producto siempre lo pido

  
  
"
"







  
  
    Repurchase
  
",5.0 out of 5 stars,"









  
  
    
  It works for sensitive skin, this is my repurchase again

  
"
"







  
  
    Sprayer stopped working
  
",2.0 out of 5 stars,"









  
  
    
  After two weeks of using it, the sprayer stopped working leaving me with an almost full bottle that I can’t use. Won’t buy it again.

  
"
"







  
  
    Amazing
  
",5.0 out of 5 stars,"









  
  
    
  Love this mist.

  
"
"







  
  
    Perfection!
  
",5.0 out of 5 stars,"









  
  
    
  This is such a fine mist which is wonderful. It feels like almost like air/ever-so-soft wind draping across your face! Since it is a fine mist, it doesn't carelessly fly all over; meaning, it doesn't end up in my hair around my face. I'll be buying this mist again!

  
"
"







  
  
    not delicate
  
",3.0 out of 5 stars,"









  
  
    
  The spray spray is not delicate

  
"
"







  
  
    Recommend it
  
",5.0 out of 5 stars,"









  
  
    
  After use it, very comfortable!

  
"
"







  
  
    Love it
  
",5.0 out of 5 stars,"









  
  
    
  I absolutely love this. I use it every morning and night and sometimes in between.. keeps my face moisturized and the cool mist  is refreshing. This now a staple in my face care routine .

  
"
"







  
  
    perfect for dry skin
  
",4.0 out of 5 stars,"









  
  
    
  I love this a lot. It is really helpful for super dry skin.

  
"
"







  
  
    Broken
  
",1.0 out of 5 stars,"









  
  
    
  Spraying function stopped working when I have half of the content left. Now I can’t return or get credit for it, it’s just going into trashcan. What a waste of money!

  
"
"







  
  
    Doesn’t do anything
  
",2.0 out of 5 stars,"









  
  
    
  I don’t get all the rave. I’ve used the product for over a month and absolutely nothing has changed.

  
"
"







  
  
    Must have!
  
",5.0 out of 5 stars,"









  
  
    
  These waters are life! I have it everywhere in my house and my bags. I used it for everything on my body!

  
"
"







  
  
    not very special
  
",3.0 out of 5 stars,"









  
  
    
  Its a ok product, expensive but not special. It does not work on my childs dry itchy skin, but its ok to use as a make up set. I would give 2-3 star.

  
"
