title,stars,comment
"







  
    Efficace
  
  
",4.0 out of 5 stars,"









  
    
  J'ai la peau très sensible et tout va pour l'instant !

  
  
"
"







  
    Merveilleux
  
  
",5.0 out of 5 stars,"









  
    
  Je l’utilise lorsque je met ma crème de jours pour l’étendre et dans la journée si ma peau en redemande .. en voyage avec de la grosse chaleur je l’adore pour le rafraîchir

  
  
"
"







  
  
    good
  
",4.0 out of 5 stars,"









  
  
    
  this is good for people to hydrate their skin instantly. mainly water content so it’s good for all types of skin

  
"
"







  
  
    Buyer beware!!!!!!!!
  
",1.0 out of 5 stars,"









  
  
    
  I would give this negative 5 star if I couldThey are always shipping outdated , leaking and broken mist cap bottle.NO RETURNABLE.QUALITY IS TERRIBLE

  
"
"







  
  
    looks used and came without a cap
  
",2.0 out of 5 stars,"









  
  
    
  Bottle looks used lol, and no cap

  
"
"







  
  
    The smell...
  
",2.0 out of 5 stars,"









  
  
    
  The initial smell of the product was very chemically.. I originally bought this product to spray before applying my hyaluronic acid. but the initial smell has me hesitant to use it regularly on my skin..  It is not moisturizing but i knew that the product was not meant to moisturize and did not purchase for that reason.

  
"
"







  
  
    Love this feeling!
  
",5.0 out of 5 stars,"









  
  
    
  Feels so good on my skin!!

  
"
"







  
  
    DAMAGED
  
",1.0 out of 5 stars,"









  
  
    
  This aerosol spray arrived defective.  It has a dent in the bottle.  I would like a replacement, or a refund.

  
"
"







  
  
    Yes!
  
",5.0 out of 5 stars,"









  
  
    
  A must for dry skin!!! Saw this on YouTube and had to buy it

  
"
"







  
    Brumisateur
  
  
",5.0 out of 5 stars,"









  
    
  Très bon produit. Ne dessèche pas la peau.À recommander !

  
  
"
"







  
  
    Dusty
  
",1.0 out of 5 stars,"









  
  
    
  These bottles arrived and looked like they had been sitting on a shelf for years gathering dust.  Makes me wonder if they have been used.

  
"
"







  
    使用期限が切れている
  
  
",1.0 out of 5 stars,"









  
    
  お風呂上がりに化粧水をつけるまでのつなぎとしてつかっていました。まるで水なので保湿力はほぼなく、香りもありません。ほんの数分のつなぎとして使用するのでまあいいかなという感じでした。ほとんど一本を使い切りそうというタイミングで気づきましたが、裏のラベルの使用期限が2017年5月末になっていました。なので☆1です。

  
  
"
"







  
    Très satisfait
  
  
",5.0 out of 5 stars,"









  
    
  Très bon produit

  
  
"
"







  
    Bon produit
  
  
",5.0 out of 5 stars,"









  
    
  Rempli sa fonction

  
  
"
"







  
  
    strange smell
  
",2.0 out of 5 stars,"









  
  
    
  I have always been using Avene's spring water spray and decided to try out this Bioderma one.But it got a strange smell.I won't buy it again.

  
"
"







  
  
    I really to get an another new one
  
",1.0 out of 5 stars,"









  
  
    
  The product looks old and too dirty.

  
"
"







  
  
    So, so
  
",1.0 out of 5 stars,"









  
  
    
  Great spray but i feel like it clogs my pores.

  
"
"







  
    Très bon produit
  
  
",4.0 out of 5 stars,"









  
    
  Très bon produit

  
  
"
"







  
  
    A nice addition to my skin care
  
",5.0 out of 5 stars,"









  
  
    
  I use this when my skin feels dry or slightly irritated, and it pretty much calms the sensation down. It feels even more amazing in the summer because of it’s cool-down effect. Recently gave a small bottle to my hubby for post workouts (his skin gets red easily) and he likes it a lot.

  
"
"







  
  
    One can at least half empty and screwy labels. Suspected fakes!
  
",1.0 out of 5 stars,"









  
  
    
  I suspect these are fakes. One item on my food scale (in the can) weighed 13.1 and the other 5.1 one label looked like a photo copy stuck on crooked with lines the other next to it didn’t have and part cut off. The one 5.1 oz didn’t even weigh the same as one I’ve had and been using for months and yet it still weighed more at 7 oz.  Extremely disappointed in seller/Amazon. I tried to upload four photos but on my phone I can’t tell if they all uploaded.

  
"
"







  
  
    Super cooling
  
",4.0 out of 5 stars,"









  
  
    
  I don't honestly really think this spray does much at all ... but it does feel nice and cooling when applied and I do honestly use it a lot (whenever I am hot or before I prep my skin to give it a little pick me up). Again, I don't think it does much for my skin, but I do enjoy it.

  
"
"







  
  
    Love this product !
  
",5.0 out of 5 stars,"









  
  
    
  I really like this stuff ! I will say the packaging of the bottle is a bit dingy but what’s inside matters the most ! I feel like it really hydrates my skin. I put it on before makeup, sometimes after makeup, or even when I’m not wearing any make up ! Buy this stuff you won’t regret it!

  
"
"







  
  
    Purposeful facial mist is Amazing
  
",5.0 out of 5 stars,"









  
  
    
  Amazing facial mist for hydration, refreshed feeling or setting makeup.  Quality spray blithely benefits to it that is micro fine, good for the skin and quality value product

  
"
"







  
    Top !
  
  
",5.0 out of 5 stars,"









  
    
  Rien à dire de plus le produit est top et fais le travail!

  
  
"
"







  
    Rafraîchissant
  
  
",5.0 out of 5 stars,"









  
    
  Rafraîchissant

  
  
"
"







  
  
    Nice quick moisturizer
  
",5.0 out of 5 stars,"









  
  
    
  Great moisturizer without a scent

  
"
"







  
    Un brumisateur.
  
  
",3.0 out of 5 stars,"









  
    
  Le produit est conforme 1 à l'attendu mais finalement je ne vois pas différence avec un ""Évian de supermarché"" 3x moins cher.

  
  
"
"







  
    BRUMISATEUR HYDRABIO 300ml
  
  
",5.0 out of 5 stars,"









  
    
  Très bonne livraison, très emballé, un brumisateur frais de Bioderma (para-pharmacie), avec brume légère et bonne contenance, au prix top!

  
  
"
"







  
    Rafraîchi et hydrate.
  
  
",5.0 out of 5 stars,"









  
    
  Très agréable.

  
  
"
"







  
    Brume très agréable
  
  
",5.0 out of 5 stars,"









  
    
  Brume très agréable, respecte ses promesses. Je l'ai prise pour l'été et parents comme enfants nous l'avons adoptée.

  
  
"
"







  
  
    Better than the much expensive I was using
  
",5.0 out of 5 stars,"









  
  
    
  Love this mist I had mist that I paid triple for before and I actually like this one better

  
"
"







  
    Top
  
  
",5.0 out of 5 stars,"









  
    
  Licraison rapide, soignée. Ça pulse, c est top.

  
  
"
"







  
  
    I'm pretty disappointed...
  
",2.0 out of 5 stars,"









  
  
    
  I really like Bioderma products and have been looking for a face spray that's more than just water but won't irritate my sensitive skin and eyes. I think the product is pretty good, but I wish there was maybe some glycerin or something in it so it was a little more moisturizing and doesn't just quickly evaporate. Also... unfortunately the water seems to irritate my eyes a little bit. I've just been avoiding the eye area and that seems to work.My biggest complaint though is the pressure in the aerosol ran out so fast. I can feel and hear tons of product swishing around the can but because the pressure ran out, it's extremely hard to get out of the can. Maybe I have a defective product but I doubt it. I still want to get my money's worth, so I've been turning the can upside down and dripping it into another spray bottle I had on hand to actually use the 80% or something leftover product. I've used other aerosol face sprays like Evian and another water spray and I did not have this problem.TDLR:pros: good formulation, pretty good for sensitive skin, good brand, pretty good price for a face productcons: can't use most of the product due to pressure runningout, irritates my extremely sensitive eyes, not as moisturizing as I was hoping it would be

  
"
"







  
    j’aime
  
  
",5.0 out of 5 stars,"









  
    
  Idéal pour bébé

  
  
"
"







  
  
    Product title is misleading
  
",3.0 out of 5 stars,"









  
  
    
  This is not a lotion -- it's just a water-spray.  Feels nice but was not what I was expecting.

  
"
"







  
  
    Product seems to work, but bottle didn't quite feel full?
  
",4.0 out of 5 stars,"









  
  
    
  I've never used this product before, but I recieved today and noticed there seemed to be a lot of extra room in the bottle.

  
"
"







  
    Satisfaite
  
  
",5.0 out of 5 stars,"









  
    
  Très satisfaite

  
  
"
"







  
    Très bon produit
  
  
",5.0 out of 5 stars,"









  
    
  Très agréable et pas desséchant....super

  
  
"
"







  
  
    Great for dermaplaning skincare
  
",5.0 out of 5 stars,"









  
  
    
  I used this product as part of my skincare routine after dermaplaning.  I have a very sensitive skin and all good. Very small amount needed. It was refreshing, it didn’t sting and I didn’t get any reaction. I’ll definitely buy it again!

  
"
"







  
  
    Meh..
  
",2.0 out of 5 stars,"









  
  
    
  After spraying the water, it has a funny smell, which reminds me of sour odour from an old hose… wonder how long these bottles have been sitting there. And if there were any contamination: it has sugar in the ingredients and when I bought it, it’s expiration date was set to be good until 2023. The bottle is under pressure and a metal material, can’t see through if there’s any corrosion inside. Now I’m using it to spray my plants…

  
"
"







  
  
    Product was damaged
  
",1.0 out of 5 stars,"









  
  
    
  Product was delivered in poor condition, with the lid broken and not sealed. Impossible to use.

  
"
"







  
  
    love it !
  
",5.0 out of 5 stars,"









  
  
    
  very good and quality and quantity for the price !!

  
"
"







  
    parfait
  
  
",5.0 out of 5 stars,"









  
    
  parfait aucun parfum juste léger a souhait sur la peau

  
  
"
"







  
    Parfait à conserver au réfrigérateur
  
  
",5.0 out of 5 stars,"









  
    
  Fraîcheur

  
  
"
"







  
    De bon produit sur amazone
  
  
",1.0 out of 5 stars,"









  
    
  Ne peux pas noté produit soy disant acheter mais na pas reçu dommage sa m'avait t l'air d'un bon produit

  
  
"
"







  
  
    Great stuff!
  
",5.0 out of 5 stars,"









  
  
    
  Nice refreshing mist. Great for sensitive skin!

  
"
"







  
  
    Product photos aren’t correct & can’t return
  
",1.0 out of 5 stars,"









  
  
    
  I’m annoyed that the product photos are of the Bioderma SPF 50+ which is what I thought I was getting. I also can’t return it so I’m stuck with it, I enjoy Bioderma products so I guess it’s fine but not what was advertised.

  
"
"







  
    Super rafraîchissant
  
  
",5.0 out of 5 stars,"









  
    
  Je ne m'en sers pas pour le côté cosmétique, mais pour le côté super rafraîchissant. Parfait pour l'été ou pendant/après l'effort. Flacon assez grand qui coûte nettement moins cher que d'autres marques de même quantité en pharmacie et parapharmacie.

  
  
"
"







  
  
    Nice hydrating face mist
  
",5.0 out of 5 stars,"









  
  
    
  This product is great for applying with hyaluronic acid to hydrate the skin. My skin felt instantly refreshed upon use. It's a very fine mist compared to other facial sprays. Decent quantity for the price. The product is lightly scented and did not irritate my skin.

  
"
"







  
  
    It tastes salty
  
",3.0 out of 5 stars,"









  
  
    
  The pressure of this mist is so much...it’s a bit too much for me. I can taste the salt of the mist and I didn’t like it. Even thought it’s good for sensitive skin, salt ingredient can dehydrate the skin according to my knowledge, so I stoped using it.

  
"
"







  
    良い商品
  
  
",5.0 out of 5 stars,"









  
    
  良いミスト。一度使用したら、変更したくない❤️

  
  
"
"







  
    Bien
  
  
",2.0 out of 5 stars,"









  
    
  Bien en cas de forte chaleur

  
  
"
"







  
    Hydrabio brume
  
  
",4.0 out of 5 stars,"









  
    
  Fait son job

  
  
"
"







  
    Spray
  
  
",5.0 out of 5 stars,"









  
    
  Agréable et hydratante

  
  
"
"







  
  
    Like this product.
  
",5.0 out of 5 stars,"









  
  
    
  I use this only for my nuface. It works great as I do not like using the conducting gels.

  
"
"







  
    Produit pas encore reçu ?.
  
  
",1.0 out of 5 stars,"









  
    
  Produit que j'attends avec impatience , je le connais il es très frais sur le visage le matin ?

  
  
"
"







  
  
    Possibly expired or fake
  
",2.0 out of 5 stars,"









  
  
    
  I haven't tried this product before so it's hard to say how it's supposed to perform. But the container was very dirty and worn out when I received it, making me think it's possibly expired. I'm unsure about it so I don't use it much.

  
"
"







  
    Parfait en cas de chaleur et pour peaux atopiques !!
  
  
",5.0 out of 5 stars,"









  
    
  Joue son rôle à 100 %Rafraichissant, idéal et indispensable en cas de forte chaleur ou coup de soleil.Idéal aussi pour les peaux à tendance atopique!

  
  
"
"







  
    Qualité
  
  
",5.0 out of 5 stars,"









  
    
  Super produit

  
  
"
"







  
    シューッと
  
  
",5.0 out of 5 stars,"









  
    
  お風呂上がりに、化粧の仕上げに…変な匂いもせずに気持ちイイです^_^

  
  
"
"







  
    Produit livré très rapidement
  
  
",5.0 out of 5 stars,"









  
    
  Bonjour,C'est le deuxième brumisateur que je commande, j'en suis très satisfaite.Juste à la réception le bouchon était cassé.Cordialement,

  
  
"
"







  
    Eccellente
  
  
",5.0 out of 5 stars,"









  
    
  Eccellente. Schiuma soffice e morbida che deterge efficacemente ogni traccia di trucco, anche il mascara. Non irrita gli occhi e ne basta davvero poco. Ultra soddisfatta del mio acquisto.

  
  
"
"







  
    LES 4 ETOILES JUSTE POUR LE PRODUIT!
  
  
",4.0 out of 5 stars,"









  
    
  Entre le 10 janvier et le 6 mai + de 50% d'augmentation!Encore un responsable des achats qui fait mal son boulot car si une telle hausse est appliquée aux clients, je n'imagine même pas la leur.....Je change de crèmerie! Dommage le produit était nikel.

  
  
"
