title,stars,comment
"







  
    Difettato
  
  
",3.0 out of 5 stars,"









  
    
  Ho comprato questo spray 💦termale per il mare, mi serviva qualcosa di pratico, rinfrescante, Lenitivo e idratante che potessi mettere dopo tornata dal mare.Il prodotto è il top, con la sua confezione da 300 ml vi sarà utile per fissare il trucco, per lenire il prurito dei morsi delle zanzare e persino come dopo sole perché oltre a rendere la pelle visibilmente più idratata , grazie alle proprietà rigenerative dell'acqua termale, vi darà una boccata di freschezza soprattutto se siete accaldate.Aggiungo inoltre che anche il prezzo è il top, lo comprerò un'altra volta perché soprattutto in questo periodo di calura estiva, l'acqua termale è l'ideale per chi come me non sopporta mettere addosso creme appiccicose.AggiornamentoIl prodotto a metà ha smesso di erogare, credevo fosse fosse finito, cosa molto improbabile e ho notato che c'era un piccolo forellino da cui fuoriusciva il ⛽gas. Pertanto l'acqua termale è andata a farsi benedire

  
  
"
"







  
    Super!
  
  
",5.0 out of 5 stars,"









  
    
  Fantastico. Vaporizzandolo sul viso produce un effetto fresco immediato! Davvero conveniente e utile soprattutto in mesi d’estate! Lo adoro. Grazie mille Amazon! 🤗

  
  
"
"







  
    Rinfrescante
  
  
",5.0 out of 5 stars,"









  
    
  Ideale per rinfrescare la pelle nell’arco della giornata, formato super e non brucia ne gli occhi e ne la pelle!

  
  
"
"







  
  
    Arrived damaged and dirty, looks used
  
",1.0 out of 5 stars,"









  
  
    
  The spray can was very dirty and scratched upon arrival — there was even dirt inside the cap to the spray can. The spray can doesn’t feel full, as if it’s already been used. I don’t feel comfortable using this. Unfortunately it can’t be returned. Should have checked more carefully before ordering.

  
"
"







  
  
    I love this product!
  
",4.0 out of 5 stars,"









  
  
    
  At arrival the seal on the cap was broken, since it is a spray I can still used safely, but the spray had been used.

  
"
"







  
    perfetta come sempree
  
  
",5.0 out of 5 stars,"









  
    
  Uriage non si smentisce mai, sempre ottima qualità dei prodotti!la uso come tonico, lozione rinfrescante e contro le irritazioni, insomma è un prodotto che tutti dovremmo avere!

  
  
"
"







  
    Su cinque acquistati, due sono rimasti pieni a metà
  
  
",3.0 out of 5 stars,"









  
    
  Rimane mezzo pieno

  
  
"
"







  
  
    Ok
  
",5.0 out of 5 stars,"









  
  
    
  Ok

  
"
"







  
  
    Good product
  
",4.0 out of 5 stars,"









  
  
    
  Convenient and soothing for sensitive skin.

  
"
"







  
    Buona
  
  
",5.0 out of 5 stars,"









  
    
  Buona acqua termale, rinfresca nelle giornate calde ma oltre a questo non ho visto altro ma ovviamente si tratta solo di acqua

  
  
"
"







  
  
    Good product
  
",5.0 out of 5 stars,"









  
  
    
  Cleans very well and sterile ,lasts long

  
"
"







  
  
    Highly recommended
  
",5.0 out of 5 stars,"









  
  
    
  Very good one!!

  
"
"







  
  
    love it!
  
",5.0 out of 5 stars,"









  
  
    
  Very moisturizing!  I used Avene thermal spring water before but i like this one better.  Good product and cost-effective.

  
"
"







  
  
    Cool
  
",5.0 out of 5 stars,"









  
  
    
  Nice cool refreshment, very good for hot days or just refresh yourself

  
"
"







  
  
    Good quality
  
",5.0 out of 5 stars,"









  
  
    
  Good quality and fast delivery

  
"
"







  
  
    Great for Eczema
  
",5.0 out of 5 stars,"









  
  
    
  Love this stuff. So good for my eczema. Clams my skin and gives it lots of nutrients.

  
"
"







  
  
    Satisfied
  
",5.0 out of 5 stars,"









  
  
    
  The product came slightly damaged however nothing serious. I like this thermal water. I apply it everyday after my showers. Then I continue with serum, lotion and moisturizer. I think it is one of the cheapest Thermal Water(s) in the mark. I didn't observe any difference from Roche Posay though.

  
"
"







  
  
    Easy to use!Great value for the money!
  
",5.0 out of 5 stars,"









  
  
    
  Great!I use this before I apply the hyaluronic acid on my face.

  
"
"







  
  
    Good quality, quantity, and price
  
",5.0 out of 5 stars,"









  
  
    
  I love Uriage, I use their thermal water every day. So when I saw this, I knew I had to buy it.

  
"
"







  
  
    Five Stars
  
",5.0 out of 5 stars,"









  
  
    
  Very nice…

  
"
"







  
    Piel suave e hidratada
  
  
",5.0 out of 5 stars,"









  
    
  Me gusta la sensación de suavidad que de inmediato.

  
  
"
"







  
  
    Great for sensitive skin
  
",5.0 out of 5 stars,"









  
  
    
  The spray head of this product is awesome. It's very soothing for my sensitive skin. Will definitely buy again.

  
"
"







  
    Acqua
  
  
",5.0 out of 5 stars,"









  
    
  Buona acqua idratante,profumazione delicatissima e lascia la pelle fresca

  
  
"
"







  
    Toccasana per pelli arrossate
  
  
",5.0 out of 5 stars,"









  
    
  Fantastico un vero toccasana per la pelle arrossata.

  
  
"
"







  
    No dejéis que os cobren de más.
  
  
",3.0 out of 5 stars,"









  
    
  El producto es maravilloso, mejor que otras marcas de renombre que he probado (vamos, Avène y la Roche Posay), pero mucho ojo con los vendedores de Amazon. Pagué casi 14€ y en farmacias, físicas y online, rara vez vale más de 8€ y pico. Incluso es habitual encontrarla en duplo por menos de lo que he pagado.

  
  
"
"







  
    Tuttok come da descrizione
  
  
",5.0 out of 5 stars,"









  
    
  Consegna ok...prodotto ok

  
  
"
"







  
  
    Great product
  
",5.0 out of 5 stars,"









  
  
    
  I have used other brands, and this one feels great on my skin sometimes I can even skip moisturizer

  
"
"







  
  
    Great
  
",5.0 out of 5 stars,"









  
  
    
  Great

  
"
"







  
  
    Three Stars
  
",3.0 out of 5 stars,"









  
  
    
  did not see any effect on me! just water.

  
"
"







  
  
    Exactly what is wanted. This is refreshing and has ...
  
",5.0 out of 5 stars,"









  
  
    
  Exactly what is wanted. This is refreshing and has lots of minerals for your skin i cant go without it now.

  
"
